Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
lacu:West Berkshire,E06000037,3960,4862,4932,572,386,3209,766,70,70,-902,911,844,67,1813,861,856,96
lacu:Windsor and Maidenhead,E06000040,4598,6029,6124,782,419,3926,998,96,96,-1431,872,809,63,2304,1204,1009,91
lacu:Wokingham,E06000041,4333,5677,5766,721,349,3863,832,88,88,-1345,899,830,69,2244,1098,1047,99
lacu:Buckinghamshire,E06000060,14420,17884,18145,2131,1421,11547,3045,261,261,-3464,3374,3136,238,6837,3417,3076,344
lacu:East Sussex,E10000011,11632,12565,12783,1782,1414,7457,2130,218,218,-933,3754,3529,224,4687,1976,2368,343
lacu:Hampshire,E10000014,30752,36179,36743,4612,2915,24001,5215,564,564,-5427,8458,7869,588,13885,6041,6970,874
lacu:Kent,E10000016,32287,37122,37709,4795,3535,23883,5496,587,587,-4835,9105,8482,623,13939,5920,7079,941
lacu:Oxfordshire,E10000025,16201,19836,20143,2510,1766,12932,2935,307,307,-3635,3732,3449,283,7367,3256,3687,424
lacu:Surrey,E10000030,33742,42400,43078,5541,3204,27378,6954,678,678,-8658,7448,6921,526,16106,8388,6950,767
lacu:West Sussex,E10000032,19091,21477,21854,3087,2034,13531,3202,378,378,-2386,5443,5087,356,7829,3283,4011,535
lacu:Bath and North East Somerset,E06000022,4034,4604,4689,601,455,2784,849,85,85,-569,1073,984,89,1642,652,859,131
"lacu:Bristol, City of",E06000023,8669,10362,10521,1125,1149,6852,1395,159,159,-1693,2138,1950,188,3831,1356,2191,283
lacu:Cornwall,E06000052,9879,9866,10074,1463,1274,5633,1704,208,208,13,3495,3242,254,3483,1104,2004,374
lacu:Isles of Scilly,E06000053,49,49,50,11,9,23,7,2,2,0,15,14,1,15,5,9,2
lacu:North Somerset,E06000024,4496,4829,4911,576,425,3095,815,82,82,-333,1456,1357,99,1789,685,964,139
lacu:Plymouth,E06000026,4215,4495,4557,439,407,3144,567,62,62,-280,1506,1402,104,1786,535,1091,160
"lacu:Bournemouth, Christchurch and Poole",E06000058,7822,8626,8796,1197,942,5395,1262,170,170,-804,2349,2174,176,3154,1153,1740,261
lacu:South Gloucestershire,E06000025,5583,6704,6809,747,554,4514,994,106,106,-1120,1430,1301,129,2550,946,1415,189
lacu:Swindon,E06000030,4126,5068,5138,495,402,3677,564,70,70,-941,1039,942,97,1980,744,1096,141
lacu:Torbay,E06000027,2362,2282,2327,321,287,1363,356,45,45,80,885,828,57,805,251,468,86
lacu:Wiltshire,E06000054,10301,11748,11932,1299,1044,7655,1934,184,184,-1447,3077,2840,237,4525,1781,2404,339
lacu:Devon,E10000008,14948,15409,15722,2202,1776,8913,2831,313,313,-461,5093,4731,362,5554,1836,3185,533
lacu:Dorset,E06000059,7657,7764,7937,1216,814,4557,1349,173,173,-107,2741,2562,179,2848,1043,1544,261
lacu:Gloucestershire,E10000013,12884,14474,14716,1708,1343,9321,2344,242,242,-1590,3829,3532,297,5419,2145,2845,429
lacu:Somerset,E10000027,10506,11038,11226,1324,1155,6933,1815,188,188,-532,3530,3269,261,4062,1446,2238,379
lacu:Isle of Anglesey,W06000001,1144,1162,1184,155,103,755,172,22,22,-18,450,414,35,468,145,273,50
lacu:Gwynedd,W06000002,1857,1893,1929,256,196,1179,298,37,37,-36,700,641,58,735,227,423,85
lacu:Conwy,W06000003,1949,1911,1947,251,176,1222,298,36,36,38,781,723,58,743,235,426,82
lacu:Denbighshire,W06000004,1589,1606,1630,164,137,1063,266,24,24,-18,622,576,46,640,202,371,67
lacu:Flintshire,W06000005,2703,2985,3026,289,184,2194,360,41,41,-282,950,871,79,1232,444,678,110
lacu:Wrexham,W06000006,2310,2489,2520,217,160,1744,400,31,31,-179,790,723,68,970,336,538,96
lacu:Powys,W06000023,2251,2192,2236,305,276,1224,431,44,44,58,869,799,69,810,257,455,98
lacu:Ceredigion,W06000008,1112,1100,1125,179,127,633,186,26,26,12,428,391,37,416,131,232,53
lacu:Pembrokeshire,W06000009,2018,1975,2015,276,190,1214,336,40,40,43,808,747,61,766,237,441,87
lacu:Carmarthenshire,W06000010,2935,3016,3061,316,248,2037,459,46,46,-80,1207,1116,91,1288,385,771,132
lacu:Swansea,W06000011,3724,3884,3941,393,295,2703,550,56,56,-161,1461,1348,113,1621,499,957,165
lacu:Neath Port Talbot,W06000012,2233,2162,2188,181,138,1612,258,26,26,71,988,922,66,917,285,536,96
lacu:Bridgend,W06000013,2226,2434,2470,257,168,1763,283,37,37,-207,804,737,66,1011,324,590,97
lacu:Vale of Glamorgan,W06000014,2467,2706,2755,340,200,1762,453,49,49,-240,835,775,60,1075,375,616,84
lacu:Cardiff,W06000015,5846,6754,6859,725,535,4655,943,104,104,-909,1860,1694,166,2769,894,1630,245
lacu:Rhondda Cynon Taff,W06000016,3509,3703,3748,315,309,2712,412,45,45,-194,1366,1260,106,1560,483,921,156
lacu:Merthyr Tydfil,W06000024,881,927,936,62,69,677,127,9,9,-46,343,316,27,389,115,235,39
lacu:Caerphilly,W06000018,2730,2905,2941,249,191,2125,376,36,36,-175,1044,963,82,1219,358,742,119
lacu:Blaenau Gwent,W06000019,905,934,943,63,69,743,68,9,9,-29,394,362,32,422,122,254,47
lacu:Torfaen,W06000020,1383,1509,1528,132,96,1115,186,19,19,-126,522,481,42,649,197,391,61
lacu:Monmouthshire,W06000021,1877,2078,2115,257,154,1299,404,37,37,-201,607,558,48,807,322,419,66
lacu:Newport,W06000022,2412,2642,2680,266,181,1975,257,38,38,-230,870,796,74,1100,375,618,107
lacu:Aberdeen City,S12000033,4581,5778,5860,570,305,4235,751,82,82,-1197,1151,1046,105,2348,1006,1184,158
lacu:Aberdeenshire,S12000034,5493,6746,6864,821,384,4648,1011,118,118,-1253,1329,1214,115,2582,1099,1316,168
lacu:Angus,S12000041,2166,2342,2380,264,143,1577,396,38,38,-176,698,652,45,874,298,507,68
lacu:Argyll and Bute,S12000035,1524,1514,1540,181,159,980,220,26,26,10,594,557,37,584,207,321,56
lacu:Clackmannanshire,S12000005,956,959,970,79,56,729,106,11,11,-3,406,385,21,409,141,236,32
lacu:Dumfries and Galloway,S12000006,2581,2634,2675,285,235,1681,475,41,41,-53,979,915,64,1032,302,633,97
lacu:Dundee City,S12000042,2216,2320,2346,184,197,1740,226,26,26,-104,847,789,58,952,296,563,93
lacu:East Ayrshire,S12000008,1989,2155,2180,176,151,1556,298,25,25,-166,694,646,48,860,275,510,75
lacu:East Dunbartonshire,S12000045,2453,2820,2875,383,164,1825,504,55,55,-367,703,658,45,1070,421,582,67
lacu:East Lothian,S12000010,2183,2507,2547,281,183,1674,410,40,40,-324,639,594,45,963,387,509,67
lacu:East Renfrewshire,S12000011,2167,2533,2586,363,131,1563,528,52,52,-366,547,510,38,914,370,487,57
lacu:City of Edinburgh,S12000036,11140,13368,13585,1510,1219,8762,2095,217,217,-2228,2736,2534,202,4964,2043,2605,317
lacu:Na h-Eileanan Siar,S12000013,444,468,475,45,42,316,71,7,7,-25,156,144,12,180,55,108,18
lacu:Falkirk,S12000014,2732,3134,3170,251,196,2362,361,36,36,-402,872,806,67,1274,441,733,101
lacu:Fife,S12000047,6309,6948,7052,726,432,5001,893,104,104,-639,2167,2013,153,2805,957,1616,232
lacu:Glasgow City,S12000049,9749,11038,11173,937,901,7962,1373,135,135,-1289,3114,2901,213,4402,1429,2625,349
lacu:Highland,S12000017,4333,4735,4827,640,381,3130,677,92,92,-402,1379,1278,102,1782,596,1032,154
lacu:Inverclyde,S12000018,1302,1338,1353,109,72,1036,137,16,16,-35,522,490,33,558,201,307,49
lacu:Midlothian,S12000019,1660,1929,1963,235,129,1394,205,34,34,-269,495,456,39,764,281,426,57
lacu:Moray,S12000020,1618,1836,1866,204,131,1280,251,29,29,-218,505,464,42,724,246,415,62
lacu:North Ayrshire,S12000021,2146,2238,2265,191,141,1671,262,28,28,-92,837,783,54,929,301,545,83
lacu:North Lanarkshire,S12000050,5528,6315,6384,485,381,4831,688,70,70,-786,1757,1625,132,2543,839,1502,203
lacu:Orkney Islands,S12000023,389,452,460,55,34,283,88,8,8,-63,116,106,10,179,47,118,15
lacu:Perth and Kinross,S12000048,2926,3232,3288,387,253,2130,517,56,56,-307,923,858,65,1230,485,648,97
lacu:Renfrewshire,S12000038,3013,3372,3422,348,184,2595,294,50,50,-359,1041,968,73,1400,498,790,111
lacu:Scottish Borders,S12000026,2155,2275,2314,271,193,1452,398,39,39,-120,744,693,50,864,306,482,75
lacu:Shetland Islands,S12000027,452,546,555,58,47,384,65,8,8,-94,112,101,11,206,72,119,15
lacu:South Ayrshire,S12000028,2032,2120,2157,259,132,1461,305,37,37,-88,744,697,47,831,294,465,72
lacu:South Lanarkshire,S12000029,5648,6467,6558,630,408,4688,832,91,91,-819,1797,1667,130,2616,902,1516,198
lacu:Stirling,S12000030,1839,2086,2113,191,154,1415,353,28,28,-247,594,554,41,841,342,437,62
lacu:West Dunbartonshire,S12000039,1371,1460,1476,111,86,1185,95,16,16,-89,540,502,37,629,204,367,57
lacu:West Lothian,S12000040,3149,3713,3758,317,213,2797,431,46,46,-564,963,888,75,1527,524,891,112
lacu:Antrim and Newtownabbey,N09000001,2327,2602,2627,279,201,1806,340,25,25,-275,761,682,79,1036,312,618,107
"lacu:Armagh City, Banbridge and Craigavon",N09000002,3303,3708,3741,357,376,2475,532,32,32,-405,1032,914,118,1437,433,846,158
lacu:Belfast,N09000003,5309,5666,5712,513,600,3882,717,46,46,-357,1850,1686,164,2207,685,1289,233
lacu:Causeway Coast and Glens,N09000004,2309,2359,2385,290,290,1443,363,26,26,-50,782,702,80,832,253,470,109
lacu:Derry City and Strabane,N09000005,2164,2158,2177,211,247,1424,295,19,19,6,824,749,75,818,233,480,104
lacu:Fermanagh and Omagh,N09000006,1763,1868,1886,199,244,1134,310,18,18,-106,602,537,65,708,194,426,88
lacu:Lisburn and Castlereagh,N09000007,2592,3006,3037,344,232,2052,410,31,31,-414,757,673,84,1171,400,659,112
lacu:Mid and East Antrim,N09000008,2338,2534,2558,262,218,1727,351,24,24,-197,761,682,79,958,293,557,107
lacu:Mid Ulster,N09000009,2328,2567,2589,241,329,1594,425,22,22,-239,686,603,83,925,260,554,111
"lacu:Newry, Mourne and Down",N09000010,2742,2960,2990,332,392,1813,452,30,30,-218,890,792,98,1108,314,661,132
lacu:Ards and North Down,N09000011,2782,2936,2969,369,288,1867,445,33,33,-154,1002,911,91,1155,367,664,124
ladu:Darlington,E06000005,1766,1905,1933,200,132,1342,259,28,28,-138,628,578,50,767,255,440,72
ladu:County Durham,E06000047,8108,8697,8805,758,603,6257,1187,108,108,-589,3083,2842,241,3672,1205,2113,354
ladu:Hartlepool,E06000001,1410,1407,1427,143,98,1031,155,20,20,3,570,527,43,568,192,313,62
ladu:Middlesbrough,E06000002,2074,2121,2149,202,145,1498,304,29,29,-47,837,776,61,884,271,522,91
ladu:Northumberland,E06000057,5991,6071,6171,697,475,4003,996,100,100,-80,2252,2091,161,2332,839,1263,230
ladu:Redcar and Cleveland,E06000003,2124,2183,2216,229,142,1569,275,33,33,-59,869,808,60,928,293,548,87
ladu:Stockton-on-Tees,E06000004,3179,3521,3571,353,223,2529,466,50,50,-342,1068,978,90,1410,502,777,131
ladu:Gateshead,E08000037,3007,3326,3370,310,217,2507,336,44,44,-318,1115,1027,88,1433,463,841,129
ladu:Newcastle upon Tyne,E08000021,4559,5098,5167,481,419,3461,806,68,68,-539,1485,1357,128,2024,683,1145,196
ladu:North Tyneside,E08000022,3384,3835,3897,441,241,2785,431,63,63,-451,1151,1063,88,1602,528,944,129
ladu:South Tyneside,E08000023,2321,2410,2443,227,143,1753,319,32,32,-89,899,835,65,988,315,579,95
ladu:Sunderland,E08000024,4215,4455,4511,396,288,3276,551,56,56,-240,1622,1502,120,1861,556,1127,179
ladu:Blackburn with Darwen,E06000008,1949,2011,2040,190,168,1378,304,29,29,-62,759,708,51,820,233,509,79
ladu:Blackpool,E06000009,2186,2160,2197,247,222,1437,292,38,38,27,862,812,50,836,231,525,80
ladu:Cheshire East,E06000049,8609,9739,9920,1181,648,6349,1741,181,181,-1129,2464,2293,171,3593,1597,1745,251
ladu:Cheshire West and Chester,E06000050,6889,7675,7818,928,511,5238,1140,142,142,-787,2105,1959,147,2892,1152,1522,218
ladu:Halton,E06000006,2105,2353,2385,214,131,1763,277,33,33,-247,722,674,47,969,350,545,74
ladu:Warrington,E06000007,3996,4756,4830,483,282,3402,663,74,74,-760,1096,1008,88,1856,711,1013,131
ladu:Allerdale,E07000026,1736,1847,1880,215,114,1230,321,33,33,-111,582,542,40,692,243,388,61
ladu:Barrow-in-Furness,E07000027,1118,1240,1259,126,61,920,153,19,19,-122,379,351,27,501,173,286,42
ladu:Carlisle,E07000028,1783,1920,1954,220,136,1409,189,34,34,-137,663,617,46,799,257,471,71
ladu:Copeland,E07000029,1207,1394,1412,120,58,1084,150,18,18,-187,431,403,28,618,219,355,43
ladu:Eden,E07000030,1047,1086,1110,157,120,635,199,24,24,-39,337,314,23,376,134,208,34
ladu:South Lakeland,E07000031,2403,2430,2493,408,219,1295,571,63,63,-27,765,719,46,792,292,433,67
ladu:Bolton,E08000001,4532,4847,4914,440,386,3323,765,67,67,-316,1561,1455,106,1876,621,1092,163
ladu:Bury,E08000002,3381,3889,3950,398,292,2590,671,61,61,-508,1000,930,70,1508,506,896,106
ladu:Manchester,E08000003,7884,9058,9194,887,954,6220,1133,136,136,-1174,2285,2114,171,3459,1029,2150,280
ladu:Oldham,E08000004,3314,3534,3584,331,295,2531,427,51,51,-220,1204,1120,84,1424,451,844,129
ladu:Rochdale,E08000005,3217,3444,3494,325,288,2496,385,50,50,-227,1176,1096,79,1403,447,833,123
ladu:Salford,E08000006,4286,4850,4921,462,394,3326,739,71,71,-564,1264,1167,97,1828,684,995,149
ladu:Stockport,E08000007,5763,6656,6779,799,486,4406,1087,122,122,-893,1676,1561,115,2569,963,1434,173
ladu:Tameside,E08000008,3487,3801,3860,387,299,2813,361,59,59,-314,1197,1109,88,1510,487,889,135
ladu:Trafford,E08000009,5012,6382,6494,731,439,4324,1000,112,112,-1370,1248,1158,90,2619,1163,1322,134
ladu:Wigan,E08000010,5073,5712,5796,554,434,4139,670,85,85,-639,1699,1575,124,2338,743,1405,190
ladu:Burnley,E07000117,1254,1324,1341,111,100,996,134,17,17,-71,491,458,33,561,173,339,50
ladu:Chorley,E07000118,2056,2296,2336,261,166,1581,328,40,40,-240,668,620,48,908,325,511,73
ladu:Fylde,E07000119,1663,1707,1745,249,129,1044,324,38,38,-44,590,557,33,634,247,340,47
ladu:Hyndburn,E07000120,1160,1225,1243,114,110,900,119,17,17,-65,445,415,30,510,156,308,46
ladu:Lancaster,E07000121,2261,2449,2495,296,206,1626,367,45,45,-189,794,738,56,982,318,575,90
ladu:Pendle,E07000122,1411,1490,1510,130,128,989,263,20,20,-79,492,458,34,571,182,337,52
ladu:Preston,E07000123,2173,2379,2417,251,182,1738,245,39,39,-206,767,711,56,973,331,553,89
ladu:Ribble Valley,E07000124,1421,1604,1633,188,107,940,398,29,29,-183,384,359,25,567,225,306,36
ladu:Rossendale,E07000125,1198,1394,1414,127,110,938,238,19,19,-197,362,335,27,559,188,330,41
ladu:South Ribble,E07000126,1901,2188,2225,246,142,1584,254,38,38,-287,632,587,45,919,320,532,68
ladu:West Lancashire,E07000127,2112,2237,2279,268,166,1440,404,41,41,-126,698,651,48,824,297,456,71
ladu:Wyre,E07000128,1959,1962,2001,255,163,1221,362,39,39,-3,741,697,44,744,256,422,66
ladu:Knowsley,E08000011,2311,2402,2434,215,182,1788,250,33,33,-90,862,807,55,953,316,551,86
ladu:Liverpool,E08000012,7308,7948,8059,726,671,5737,925,111,111,-640,2570,2413,156,3209,1027,1920,262
ladu:Sefton,E08000014,4930,5173,5268,619,413,3533,702,95,95,-243,1800,1695,105,2043,700,1179,163
ladu:St. Helens,E08000013,2845,3036,3082,301,208,2236,337,46,46,-191,1037,969,68,1228,428,696,103
ladu:Wirral,E08000015,5646,5866,5971,689,442,4089,751,105,105,-220,2082,1958,124,2302,837,1274,191
ladu:East Riding of Yorkshire,E06000011,6234,6691,6821,793,526,4446,1056,131,131,-457,2134,1980,154,2590,968,1395,228
"ladu:Kingston upon Hull, City of",E06000010,3584,3909,3959,306,297,2916,440,50,50,-325,1265,1171,94,1590,444,999,147
ladu:North East Lincolnshire,E06000012,2514,2630,2674,266,188,1851,370,44,44,-116,908,842,66,1024,341,584,99
ladu:North Lincolnshire,E06000013,2657,2936,2982,277,197,2144,363,45,45,-279,930,859,71,1209,406,697,107
ladu:York,E06000014,3805,4428,4519,553,360,2968,637,91,91,-623,1129,1043,86,1752,648,973,132
ladu:Craven,E07000163,1112,1192,1219,164,122,749,184,27,27,-80,373,346,27,452,179,235,39
ladu:Hambleton,E07000164,1912,2058,2101,257,189,1280,375,42,42,-146,636,593,43,782,309,410,62
ladu:Harrogate,E07000165,3970,4586,4678,554,370,2647,1106,91,91,-617,1005,930,75,1622,684,828,109
ladu:Richmondshire,E07000166,960,1041,1061,123,97,667,174,20,20,-81,317,292,25,398,147,213,38
ladu:Ryedale,E07000167,1107,1122,1148,159,125,664,201,26,26,-15,384,358,26,398,160,201,37
ladu:Scarborough,E07000168,1898,1766,1809,261,198,1079,271,43,43,132,758,707,51,626,225,328,74
ladu:Selby,E07000169,1628,1973,2007,207,106,1410,284,34,34,-346,494,453,41,840,317,462,61
ladu:Barnsley,E08000016,3764,4031,4088,349,348,2925,466,57,57,-266,1384,1284,100,1650,530,969,151
ladu:Doncaster,E08000017,4925,5271,5347,463,409,3665,810,76,76,-346,1698,1572,126,2044,648,1206,190
ladu:Rotherham,E08000018,4183,4440,4503,389,372,3147,596,64,64,-256,1526,1419,107,1782,579,1042,161
ladu:Sheffield,E08000019,8623,9569,9716,898,861,6709,1248,147,147,-947,2881,2666,215,3827,1254,2237,336
ladu:Bradford,E08000032,7748,8175,8301,766,716,5613,1206,125,125,-428,2785,2589,196,3213,1038,1880,295
ladu:Calderdale,E08000033,3541,3943,4000,348,317,2688,647,57,57,-402,1172,1088,85,1574,542,906,126
ladu:Kirklees,E08000034,6807,7569,7689,733,616,5226,1114,120,120,-762,2296,2122,175,3059,1034,1762,263
ladu:Leeds,E08000035,13474,15657,15898,1476,1292,10943,2187,242,242,-2182,3975,3665,310,6157,2122,3565,471
ladu:Wakefield,E08000036,5571,6059,6150,552,431,4354,812,90,90,-488,1893,1753,140,2381,755,1415,211
ladu:Derby,E06000015,3949,4509,4571,373,309,3326,562,62,62,-561,1306,1205,101,1866,610,1105,152
ladu:Leicester,E06000016,4642,5206,5282,457,417,3695,713,76,76,-564,1458,1334,124,2022,588,1241,193
ladu:Nottingham,E06000018,4215,4693,4755,372,433,3363,587,62,62,-478,1465,1356,110,1944,623,1143,178
ladu:Rutland,E06000017,878,944,962,105,83,587,186,17,17,-66,289,271,19,356,155,175,26
ladu:Amber Valley,E07000032,2211,2552,2591,232,182,1865,311,39,39,-341,750,692,58,1091,418,588,85
ladu:Bolsover,E07000033,1138,1231,1249,105,101,923,119,17,17,-93,421,387,34,513,167,296,51
ladu:Chesterfield,E07000034,1582,1655,1682,163,133,1218,169,27,27,-73,615,570,45,688,224,396,68
ladu:Derbyshire Dales,E07000035,1716,1881,1916,213,152,1063,488,35,35,-165,500,466,34,665,288,330,48
ladu:Erewash,E07000036,1877,2190,2221,188,164,1637,231,31,31,-313,619,566,53,932,334,519,78
ladu:High Peak,E07000037,1742,1986,2018,194,154,1360,311,32,32,-244,548,505,43,792,303,426,63
ladu:North East Derbyshire,E07000038,1750,1879,1909,183,143,1219,364,30,30,-129,587,543,43,716,251,401,64
ladu:South Derbyshire,E07000039,1858,2371,2408,220,148,1750,290,37,37,-514,525,479,46,1039,409,561,69
ladu:Blaby,E07000129,1681,1969,2008,232,173,1418,184,38,38,-288,494,449,45,782,286,431,66
ladu:Charnwood,E07000130,3036,3428,3491,379,266,2331,516,63,63,-393,914,830,84,1307,476,705,126
ladu:Harborough,E07000131,2183,2516,2560,264,180,1498,619,44,44,-333,542,500,42,875,364,451,61
ladu:Hinckley and Bosworth,E07000132,2041,2355,2396,248,173,1630,345,41,41,-315,593,542,51,908,336,498,74
ladu:Melton,E07000133,1012,1120,1139,112,97,730,200,19,19,-109,305,282,24,414,164,216,34
ladu:North West Leicestershire,E07000134,1816,2083,2118,213,154,1472,279,35,35,-267,557,511,46,823,310,446,67
ladu:Oadby and Wigston,E07000135,967,1038,1057,115,83,704,155,19,19,-71,317,290,26,388,137,213,38
ladu:Boston,E07000136,1117,1194,1211,102,101,866,142,17,17,-77,368,338,30,444,136,263,45
ladu:East Lindsey,E07000137,2347,2135,2180,272,222,1280,407,45,45,212,958,894,64,746,258,398,90
ladu:Lincoln,E07000138,1433,1548,1572,141,154,1142,134,24,24,-115,515,471,44,630,195,365,70
ladu:North Kesteven,E07000139,2062,2275,2315,236,190,1577,312,39,39,-214,707,656,51,921,322,523,76
ladu:South Holland,E07000140,1579,1711,1741,176,151,1171,242,29,29,-133,521,479,42,654,213,379,61
ladu:South Kesteven,E07000141,2708,3106,3158,311,199,2119,528,52,52,-398,854,792,63,1252,467,692,93
ladu:West Lindsey,E07000142,1704,1769,1799,181,134,1169,314,30,30,-64,629,587,42,693,247,384,62
ladu:Ashfield,E07000170,1857,2011,2041,184,161,1503,193,30,30,-154,675,622,54,830,274,475,81
ladu:Bassetlaw,E07000171,1978,2108,2138,183,154,1468,334,30,30,-130,695,645,50,826,295,457,74
ladu:Broxtowe,E07000172,1912,2185,2219,206,162,1600,251,34,34,-273,642,592,51,915,339,502,75
ladu:Gedling,E07000173,2083,2283,2320,227,190,1597,306,38,38,-199,712,660,52,911,343,491,77
ladu:Mansfield,E07000174,1678,1729,1754,148,150,1296,160,25,25,-52,652,606,46,703,235,399,70
ladu:Newark and Sherwood,E07000175,2236,2462,2499,221,188,1619,471,37,37,-226,712,659,52,937,358,502,77
ladu:Rushcliffe,E07000176,2531,3114,3171,343,207,2088,534,57,57,-583,702,651,51,1286,551,659,75
ladu:North Northamptonshire,E06000061,6321,7329,7443,690,589,5152,1013,114,114,-1008,1819,1664,156,2827,1038,1565,224
ladu:West Northamptonshire,E06000062,8171,9759,9922,988,873,6658,1403,164,164,-1587,2110,1920,190,3697,1470,1958,270
"ladu:Herefordshire, County of",E06000019,3587,3768,3846,488,401,2253,704,78,78,-181,1169,1081,88,1350,488,733,129
ladu:Shropshire,E06000051,6007,6502,6627,787,603,4106,1132,126,126,-495,1963,1819,144,2458,965,1280,213
ladu:Stoke-on-Trent,E06000021,3621,3915,3962,295,308,2908,451,47,47,-294,1281,1185,95,1575,487,941,147
ladu:Telford and Wrekin,E06000020,2849,3193,3240,291,240,2283,426,46,46,-344,942,870,72,1286,425,754,107
ladu:Cannock Chase,E07000192,1575,1744,1772,175,170,1271,156,28,28,-170,541,498,43,711,234,411,65
ladu:East Staffordshire,E07000193,2066,2404,2441,237,168,1737,300,38,38,-338,643,593,50,981,351,554,76
ladu:Lichfield,E07000194,2222,2551,2594,269,169,1614,542,43,43,-329,645,600,45,975,380,528,66
ladu:Newcastle-under-Lyme,E07000195,2050,2301,2331,190,169,1645,327,30,30,-251,694,637,57,945,333,526,86
ladu:South Staffordshire,E07000196,2181,2428,2471,266,178,1536,490,42,42,-247,665,615,50,913,337,503,73
ladu:Stafford,E07000197,2558,2964,3014,310,202,2011,490,49,49,-406,776,717,59,1182,433,661,87
ladu:Staffordshire Moorlands,E07000198,1786,1874,1905,199,158,1225,323,32,32,-88,623,579,43,710,253,394,63
ladu:Tamworth,E07000199,1204,1431,1454,142,101,1104,106,23,23,-227,390,357,33,616,203,363,50
ladu:North Warwickshire,E07000218,1168,1336,1358,140,107,928,182,22,22,-167,338,308,30,506,193,269,44
ladu:Nuneaton and Bedworth,E07000219,2110,2305,2343,235,162,1764,182,37,37,-196,724,665,59,920,326,507,87
ladu:Rugby,E07000220,2107,2532,2573,260,162,1794,357,41,41,-425,556,507,49,981,388,522,71
ladu:Stratford-on-Avon,E07000221,3445,3937,4011,466,291,2306,948,74,74,-492,866,807,59,1358,631,644,83
ladu:Warwick,E07000222,3360,4145,4221,480,260,2736,745,77,77,-784,784,718,66,1569,679,792,97
ladu:Birmingham,E08000025,16413,17785,18044,1627,1581,12544,2292,259,259,-1372,5574,5179,395,6946,2285,4051,610
ladu:Coventry,E08000026,5284,6091,6183,581,450,4382,770,92,92,-806,1646,1514,131,2452,773,1475,205
ladu:Dudley,E08000027,4965,5483,5568,531,438,3888,710,85,85,-518,1695,1566,129,2213,717,1302,195
ladu:Sandwell,E08000028,4426,4693,4756,398,375,3486,497,63,63,-267,1542,1425,117,1809,556,1074,179
ladu:Solihull,E08000029,4653,5409,5509,625,342,3795,747,100,100,-757,1385,1289,96,2142,956,1046,140
ladu:Walsall,E08000030,4119,4410,4473,394,371,3116,591,63,63,-291,1488,1382,106,1779,556,1062,161
ladu:Wolverhampton,E08000031,3750,4031,4086,343,307,2942,494,55,55,-282,1327,1231,96,1609,517,945,148
ladu:Bromsgrove,E07000234,2225,2608,2655,299,174,1652,530,48,48,-383,604,558,45,987,404,517,66
ladu:Malvern Hills,E07000235,1679,1747,1785,238,162,1035,350,38,38,-68,552,516,37,621,259,311,51
ladu:Redditch,E07000236,1521,1732,1759,169,217,1208,166,27,27,-211,438,400,39,650,228,364,58
ladu:Worcester,E07000237,1712,1992,2026,217,167,1473,168,35,35,-279,547,500,47,826,290,464,72
ladu:Wychavon,E07000238,2707,3012,3073,381,250,1895,547,61,61,-304,797,739,59,1102,446,572,84
ladu:Wyre Forest,E07000239,1766,1821,1855,212,166,1218,260,34,34,-55,632,585,47,687,255,365,67
ladu:Bedford,E06000055,3488,4127,4190,425,351,2830,583,64,64,-639,953,879,74,1592,610,874,108
ladu:Central Bedfordshire,E06000056,5858,7224,7341,788,642,4923,989,118,118,-1366,1468,1340,129,2834,1166,1483,185
ladu:Luton,E06000032,3477,3989,4050,415,479,2704,452,62,62,-511,947,868,79,1458,475,865,118
ladu:Peterborough,E06000031,3395,3879,3924,301,324,2817,482,45,45,-484,973,893,80,1457,540,800,118
ladu:Southend-on-Sea,E06000033,3543,4144,4218,490,406,2744,577,73,73,-602,1007,933,74,1609,623,875,111
ladu:Thurrock,E06000034,3107,3707,3765,390,421,2581,374,58,58,-600,744,672,71,1343,508,732,103
ladu:Cambridge,E07000008,2947,3894,3963,460,339,2693,471,69,69,-947,610,553,57,1557,695,773,88
ladu:East Cambridgeshire,E07000009,1827,2191,2225,228,200,1441,356,34,34,-364,447,408,39,812,338,417,57
ladu:Fenland,E07000010,1712,1753,1780,179,188,1234,178,27,27,-41,603,558,46,644,237,343,65
ladu:Huntingdonshire,E07000011,3486,4215,4281,441,326,2986,528,66,66,-729,962,882,80,1690,704,871,116
ladu:South Cambridgeshire,E07000012,3978,5061,5142,542,367,3294,940,81,81,-1083,882,812,69,1965,900,965,100
ladu:Basildon,E07000066,3538,4355,4421,444,413,3087,478,66,66,-817,962,883,79,1778,714,945,119
ladu:Braintree,E07000067,3003,3644,3700,374,351,2441,534,56,56,-641,792,728,65,1433,575,761,97
ladu:Brentwood,E07000068,2189,2794,2842,318,195,1804,525,47,47,-605,488,452,36,1093,553,488,52
ladu:Castle Point,E07000069,1799,1993,2034,277,213,1281,263,41,41,-194,549,509,40,743,295,390,57
